element,kind,name,check,severity,detail
Mo,basis,cc-pCVTZ,core_valence_vs_parent,review,"cc-pCVTZ [7s,7p,6d,3f,2g] vs cc-pVTZ [5s,5p,4d,2f,1g]: primitives of the parent that are absent: {'f': ['1.220300']} | FYI no primitive tighter than the parent's largest in s; FYI no primitive tighter than the parent's largest in p; FYI no primitive tighter than the parent's largest in d"
Na,basis,aug-cc-pVDZ,aug_vs_parent,review,"aug-cc-pVDZ [3s,3p,2d] vs cc-pVDZ [2s,2p,1d]: primitives of the parent that are absent: {'s': ['0.120857'], 'p': ['0.070941'], 'd': ['0.085542']} | FYI no primitive more diffuse than the parent's smallest in s; FYI no primitive more diffuse than the parent's smallest in p"
Na,basis,aug-cc-pVQZ,aug_vs_parent,review,"aug-cc-pVQZ [5s,5p,4d,3f,2g] vs cc-pVQZ [4s,4p,3d,2f,1g]: primitives of the parent that are absent: {'s': ['0.016120', '0.032890', '0.067106'], 'p': ['0.013420', '0.031260', '0.072816'], 'd': ['0.048700', '0.086500', '0.153640'], 'f': ['0.103600', '0.191200'], 'g': ['0.172200']} | FYI no primitive more diffuse than the parent's smallest in p"
Na,basis,aug-cc-pVTZ,aug_vs_parent,review,"aug-cc-pVTZ [4s,4p,3d,2f] vs cc-pVTZ [3s,3p,2d,1f]: primitives of the parent that are absent: {'s': ['0.023820', '0.454000'], 'p': ['0.015000', '0.037340'], 'd': ['0.063600', '0.136700']} | FYI no primitive more diffuse than the parent's smallest in s; FYI no primitive more diffuse than the parent's smallest in p"
Nb,basis,cc-pCV5Z,core_valence_vs_parent,review,"cc-pCV5Z [9s,9p,8d,5f,4g,3h,2i] vs cc-pV5Z [7s,7p,6d,4f,3g,2h,1i]: primitives of the parent that are absent: {'f': ['3.174400', '1.139200', '0.408800'], 'g': ['1.546300', '0.593100'], 'h': ['1.182900']} | FYI no primitive tighter than the parent's largest in s; FYI no primitive tighter than the parent's largest in p; FYI no primitive tighter than the parent's largest in d"
Nb,basis,cc-pCVQZ,core_valence_vs_parent,review,"cc-pCVQZ [8s,8p,7d,4f,3g,2h] vs cc-pVQZ [6s,6p,5d,3f,2g,1h]: primitives of the parent that are absent: {'f': ['1.801000', '0.574800'], 'g': ['1.057800']} | FYI no primitive tighter than the parent's largest in s; FYI no primitive tighter than the parent's largest in p; FYI no primitive tighter than the parent's largest in d"
Nb,basis,cc-pCVTZ,core_valence_vs_parent,review,"cc-pCVTZ [7s,7p,6d,3f,2g] vs cc-pVTZ [5s,5p,4d,2f,1g]: primitives of the parent that are absent: {'f': ['0.989500']} | FYI no primitive tighter than the parent's largest in s; FYI no primitive tighter than the parent's largest in p; FYI no primitive tighter than the parent's largest in d"
Pd,basis,cc-pCV5Z,core_valence_vs_parent,review,"cc-pCV5Z [9s,9p,8d,5f,4g,3h,2i] vs cc-pV5Z [7s,7p,6d,4f,3g,2h,1i]: primitives of the parent that are absent: {'f': ['6.058200', '2.292900', '0.867800'], 'g': ['3.053600', '1.284500'], 'h': ['2.520200']} | FYI no primitive tighter than the parent's largest in s; FYI no primitive tighter than the parent's largest in p; FYI no primitive tighter than the parent's largest in d"
Pd,basis,cc-pCVQZ,core_valence_vs_parent,review,"cc-pCVQZ [8s,8p,7d,4f,3g,2h] vs cc-pVQZ [6s,6p,5d,3f,2g,1h]: primitives of the parent that are absent: {'f': ['3.719600', '1.253700'], 'g': ['2.223000']} | FYI no primitive tighter than the parent's largest in s; FYI no primitive tighter than the parent's largest in p; FYI no primitive tighter than the parent's largest in d"
Pd,basis,cc-pCVTZ,core_valence_vs_parent,review,"cc-pCVTZ [7s,7p,6d,3f,2g] vs cc-pVTZ [5s,5p,4d,2f,1g]: primitives of the parent that are absent: {'f': ['2.232900']} | FYI no primitive tighter than the parent's largest in s; FYI no primitive tighter than the parent's largest in p; FYI no primitive tighter than the parent's largest in d"
Pt,basis,cc-pCV5Z,core_valence_vs_parent,review,"cc-pCV5Z [9s,9p,8d,5f,4g,3h,2i] vs cc-pV5Z [7s,7p,6d,4f,3g,2h,1i]: primitives of the parent that are absent: {'f': ['1.966600', '0.973900', '0.482300'], 'g': ['2.367500', '1.022900'], 'h': ['1.843600']} | FYI no primitive tighter than the parent's largest in s; FYI no primitive tighter than the parent's largest in p; FYI no primitive tighter than the parent's largest in d"
Pt,basis,cc-pCVQZ,core_valence_vs_parent,review,"cc-pCVQZ [8s,8p,7d,4f,3g,2h] vs cc-pVQZ [6s,6p,5d,3f,2g,1h]: primitives of the parent that are absent: {'f': ['1.666000', '0.701900'], 'g': ['1.707000']} | FYI no primitive tighter than the parent's largest in s; FYI no primitive tighter than the parent's largest in p; FYI no primitive tighter than the parent's largest in d"
Pt,basis,cc-pCVTZ,core_valence_vs_parent,review,"cc-pCVTZ [7s,7p,6d,3f,2g] vs cc-pVTZ [5s,5p,4d,2f,1g]: primitives of the parent that are absent: {'f': ['1.304000']} | FYI no primitive tighter than the parent's largest in s; FYI no primitive tighter than the parent's largest in p; FYI no primitive tighter than the parent's largest in d"
Re,basis,cc-pCV5Z,core_valence_vs_parent,review,"cc-pCV5Z [9s,9p,8d,5f,4g,3h,2i] vs cc-pV5Z [7s,7p,6d,4f,3g,2h,1i]: primitives of the parent that are absent: {'f': ['1.475700', '0.689500', '0.322200'], 'g': ['1.730100', '0.709500'], 'h': ['1.343400']} | FYI no primitive tighter than the parent's largest in s; FYI no primitive tighter than the parent's largest in p; FYI no primitive tighter than the parent's largest in d"
Re,basis,cc-pCVQZ,core_valence_vs_parent,review,"cc-pCVQZ [8s,8p,7d,4f,3g,2h] vs cc-pVQZ [6s,6p,5d,3f,2g,1h]: primitives of the parent that are absent: {'f': ['1.232700', '0.489700'], 'g': ['1.222200']} | FYI no primitive tighter than the parent's largest in s; FYI no primitive tighter than the parent's largest in p; FYI no primitive tighter than the parent's largest in d"
Re,basis,cc-pCVTZ,core_valence_vs_parent,review,"cc-pCVTZ [7s,7p,6d,3f,2g] vs cc-pVTZ [5s,5p,4d,2f,1g]: primitives of the parent that are absent: {'f': ['0.933900']} | FYI no primitive tighter than the parent's largest in s; FYI no primitive tighter than the parent's largest in p; FYI no primitive tighter than the parent's largest in d"
Rh,basis,cc-pCV5Z,core_valence_vs_parent,review,"cc-pCV5Z [9s,9p,8d,5f,4g,3h,2i] vs cc-pV5Z [7s,7p,6d,4f,3g,2h,1i]: primitives of the parent that are absent: {'f': ['5.389700', '2.028100', '0.763100'], 'g': ['2.731400', '1.130600'], 'h': ['2.234400']} | FYI no primitive tighter than the parent's largest in s; FYI no primitive tighter than the parent's largest in p; FYI no primitive tighter than the parent's largest in d"
Rh,basis,cc-pCVQZ,core_valence_vs_parent,review,"cc-pCVQZ [8s,8p,7d,4f,3g,2h] vs cc-pVQZ [6s,6p,5d,3f,2g,1h]: primitives of the parent that are absent: {'f': ['3.313100', '1.105800'], 'g': ['1.956500']} | FYI no primitive tighter than the parent's largest in s; FYI no primitive tighter than the parent's largest in p; FYI no primitive tighter than the parent's largest in d"
Rh,basis,cc-pCVTZ,core_valence_vs_parent,review,"cc-pCVTZ [7s,7p,6d,3f,2g] vs cc-pVTZ [5s,5p,4d,2f,1g]: primitives of the parent that are absent: {'f': ['1.960600']} | FYI no primitive tighter than the parent's largest in s; FYI no primitive tighter than the parent's largest in p; FYI no primitive tighter than the parent's largest in d"
Ta,basis,cc-pCV5Z,core_valence_vs_parent,review,"cc-pCV5Z [9s,9p,8d,5f,4g,3h,2i] vs cc-pV5Z [7s,7p,6d,4f,3g,2h,1i]: primitives of the parent that are absent: {'f': ['1.204500', '0.536100', '0.238600'], 'g': ['1.323400', '0.516300'], 'h': ['0.977900']} | FYI no primitive tighter than the parent's largest in s; FYI no primitive tighter than the parent's largest in p; FYI no primitive tighter than the parent's largest in d"
Ta,basis,cc-pCVQZ,core_valence_vs_parent,review,"cc-pCVQZ [8s,8p,7d,4f,3g,2h] vs cc-pVQZ [6s,6p,5d,3f,2g,1h]: primitives of the parent that are absent: {'f': ['0.963400', '0.365100'], 'g': ['0.897000']} | FYI no primitive tighter than the parent's largest in s; FYI no primitive tighter than the parent's largest in p; FYI no primitive tighter than the parent's largest in d"
Ta,basis,cc-pCVTZ,core_valence_vs_parent,review,"cc-pCVTZ [7s,7p,6d,3f,2g] vs cc-pVTZ [5s,5p,4d,2f,1g]: primitives of the parent that are absent: {'f': ['0.695100']} | FYI no primitive tighter than the parent's largest in s; FYI no primitive tighter than the parent's largest in p; FYI no primitive tighter than the parent's largest in d"
W,basis,cc-pCV5Z,core_valence_vs_parent,review,"cc-pCV5Z [9s,9p,8d,5f,4g,3h,2i] vs cc-pV5Z [7s,7p,6d,4f,3g,2h,1i]: primitives of the parent that are absent: {'f': ['1.349500', '0.618700', '0.283600'], 'g': ['1.540600', '0.616200'], 'h': ['1.171400']} | FYI no primitive tighter than the parent's largest in s; FYI no primitive tighter than the parent's largest in p; FYI no primitive tighter than the parent's largest in d"
W,basis,cc-pCVQZ,core_valence_vs_parent,review,"cc-pCVQZ [8s,8p,7d,4f,3g,2h] vs cc-pVQZ [6s,6p,5d,3f,2g,1h]: primitives of the parent that are absent: {'f': ['1.108900', '0.433200'], 'g': ['1.081500']} | FYI no primitive tighter than the parent's largest in s; FYI no primitive tighter than the parent's largest in p; FYI no primitive tighter than the parent's largest in d"
W,basis,cc-pCVTZ,core_valence_vs_parent,review,"cc-pCVTZ [7s,7p,6d,3f,2g] vs cc-pVTZ [5s,5p,4d,2f,1g]: primitives of the parent that are absent: {'f': ['0.826600']} | FYI no primitive tighter than the parent's largest in s; FYI no primitive tighter than the parent's largest in p; FYI no primitive tighter than the parent's largest in d"
Y,basis,cc-pCV5Z,core_valence_vs_parent,review,"cc-pCV5Z [9s,9p,8d,5f,4g,3h,2i] vs cc-pV5Z [7s,7p,6d,4f,3g,2h,1i]: primitives of the parent that are absent: {'f': ['1.645800', '0.573500', '0.199900'], 'g': ['0.932600', '0.335800'], 'h': ['0.671000']} | FYI no primitive tighter than the parent's largest in s; FYI no primitive tighter than the parent's largest in p; FYI no primitive tighter than the parent's largest in d"
Y,basis,cc-pCVQZ,core_valence_vs_parent,review,"cc-pCVQZ [8s,8p,7d,4f,3g,2h] vs cc-pVQZ [6s,6p,5d,3f,2g,1h]: primitives of the parent that are absent: {'f': ['0.913500', '0.283600'], 'g': ['0.581900']} | FYI no primitive tighter than the parent's largest in s; FYI no primitive tighter than the parent's largest in p; FYI no primitive tighter than the parent's largest in d"
Y,basis,cc-pCVTZ,core_valence_vs_parent,review,"cc-pCVTZ [7s,7p,6d,3f,2g] vs cc-pVTZ [5s,5p,4d,2f,1g]: primitives of the parent that are absent: {'f': ['0.489300']} | FYI no primitive tighter than the parent's largest in s; FYI no primitive tighter than the parent's largest in p; FYI no primitive tighter than the parent's largest in d"
Zr,basis,cc-pCV5Z,core_valence_vs_parent,review,"cc-pCV5Z [9s,9p,8d,5f,4g,3h,2i] vs cc-pV5Z [7s,7p,6d,4f,3g,2h,1i]: primitives of the parent that are absent: {'f': ['2.384200', '0.847500', '0.301300'], 'g': ['1.241000', '0.461500'], 'h': ['0.925700']} | FYI no primitive tighter than the parent's largest in s; FYI no primitive tighter than the parent's largest in p; FYI no primitive tighter than the parent's largest in d"
Zr,basis,cc-pCVQZ,core_valence_vs_parent,review,"cc-pCVQZ [8s,8p,7d,4f,3g,2h] vs cc-pVQZ [6s,6p,5d,3f,2g,1h]: primitives of the parent that are absent: {'f': ['1.360100', '0.429100'], 'g': ['0.816900']} | FYI no primitive tighter than the parent's largest in s; FYI no primitive tighter than the parent's largest in p; FYI no primitive tighter than the parent's largest in d"
Zr,basis,cc-pCVTZ,core_valence_vs_parent,review,"cc-pCVTZ [7s,7p,6d,3f,2g] vs cc-pVTZ [5s,5p,4d,2f,1g]: primitives of the parent that are absent: {'f': ['0.739500']} | FYI no primitive tighter than the parent's largest in s; FYI no primitive tighter than the parent's largest in p; FYI no primitive tighter than the parent's largest in d"
